facility_id,facility_name,state,condition,discharges,err,predicted_rate,expected_rate,readmissions,worse_than_expected
140053,ST JOHNS HOSPITAL,IL,Heart Attack (AMI),576,0.9174,12.2094,13.3085,66,0
140054,MACNEAL  HOSPITAL,IL,Pneumonia (PN),238,1.0399,16.5432,15.9091,42,1
140054,MACNEAL  HOSPITAL,IL,Heart Failure (HF),269,1.0609,20.6882,19.5008,60,1
140054,MACNEAL  HOSPITAL,IL,COPD,119,1.0693,21.6497,20.2473,31,1
140054,MACNEAL  HOSPITAL,IL,Heart Attack (AMI),63,1.0804,15.8364,14.6584,14,1
140059,JERSEY COMMUNITY HOSPITAL,IL,Pneumonia (PN),85,1.028,15.5048,15.083,15,1
140059,JERSEY COMMUNITY HOSPITAL,IL,Hip/Knee Replacement,,1.0587,4.3779,4.1353,,1
140059,JERSEY COMMUNITY HOSPITAL,IL,Heart Failure (HF),97,0.9447,18.6407,19.7315,14,0
140059,JERSEY COMMUNITY HOSPITAL,IL,COPD,,0.9849,17.647,17.9177,,0
140062,PALOS COMMUNITY HOSPITAL,IL,Pneumonia (PN),1432,1.0938,18.6327,17.035,273,1
140062,PALOS COMMUNITY HOSPITAL,IL,Hip/Knee Replacement,281,1.2957,6.7641,5.2203,22,1
140062,PALOS COMMUNITY HOSPITAL,IL,Heart Failure (HF),1360,1.0614,21.6608,20.4079,299,1
140062,PALOS COMMUNITY HOSPITAL,IL,COPD,459,1.0277,19.5926,19.0637,92,1
140062,PALOS COMMUNITY HOSPITAL,IL,Bypass Surgery (CABG),,0.9794,9.6546,9.8575,,0
140062,PALOS COMMUNITY HOSPITAL,IL,Heart Attack (AMI),341,1.048,15.9901,15.2575,57,1
140063,RUSH OAK PARK HOSPITAL,IL,Pneumonia (PN),224,1.0554,16.2355,15.3829,40,1
140063,RUSH OAK PARK HOSPITAL,IL,Heart Failure (HF),265,1.0148,20.3499,20.0531,55,1
140063,RUSH OAK PARK HOSPITAL,IL,COPD,,0.9631,17.5407,18.2126,,0
140063,RUSH OAK PARK HOSPITAL,IL,Heart Attack (AMI),,1.0003,15.3387,15.3334,,1
140064,ST MARY MEDICAL CENTER,IL,Pneumonia (PN),298,1.0168,14.7338,14.4904,45,1
140064,ST MARY MEDICAL CENTER,IL,Heart Failure (HF),237,1.0612,18.4791,17.4135,48,1
140064,ST MARY MEDICAL CENTER,IL,COPD,106,0.9815,15.4322,15.7226,15,0
140065,UCHICAGO MEDICINE ADVENTHEALTH LA GRANGE,IL,Pneumonia (PN),488,0.9955,16.2515,16.3257,79,0
140065,UCHICAGO MEDICINE ADVENTHEALTH LA GRANGE,IL,Hip/Knee Replacement,255,1.097,7.0237,6.4028,19,1
140065,UCHICAGO MEDICINE ADVENTHEALTH LA GRANGE,IL,Heart Failure (HF),440,0.9419,18.0182,19.1305,75,0
140065,UCHICAGO MEDICINE ADVENTHEALTH LA GRANGE,IL,COPD,131,0.9675,17.1019,17.6765,20,0
140065,UCHICAGO MEDICINE ADVENTHEALTH LA GRANGE,IL,Heart Attack (AMI),,0.9305,12.2012,13.1126,,0
140067,SAINT FRANCIS MEDICAL CENTER,IL,Pneumonia (PN),822,1.1165,17.2284,15.4307,149,1
140067,SAINT FRANCIS MEDICAL CENTER,IL,Hip/Knee Replacement,,0.9628,5.5016,5.7142,,0
140067,SAINT FRANCIS MEDICAL CENTER,IL,Heart Failure (HF),968,0.9794,18.4392,18.8277,177,0
140067,SAINT FRANCIS MEDICAL CENTER,IL,COPD,307,0.8985,14.5315,16.1722,37,0
140067,SAINT FRANCIS MEDICAL CENTER,IL,Bypass Surgery (CABG),160,1.0917,10.4683,9.5891,19,1
140067,SAINT FRANCIS MEDICAL CENTER,IL,Heart Attack (AMI),535,0.9963,12.1842,12.2293,65,0
140068,ROSELAND COMMUNITY HOSPITAL,IL,Pneumonia (PN),,1.0088,16.4497,16.3065,,1
140068,ROSELAND COMMUNITY HOSPITAL,IL,Heart Failure (HF),53,1.0052,23.7675,23.6437,13,1
140068,ROSELAND COMMUNITY HOSPITAL,IL,COPD,,1.0249,19.3025,18.8326,,1
140080,SAINT FRANCIS HOSPITAL-EVANSTON,IL,Pneumonia (PN),267,1.0405,17.3407,16.666,49,1
140080,SAINT FRANCIS HOSPITAL-EVANSTON,IL,Hip/Knee Replacement,,0.9994,5.5692,5.5728,,0
140080,SAINT FRANCIS HOSPITAL-EVANSTON,IL,Heart Failure (HF),152,1.0941,21.945,20.0573,40,1
140080,SAINT FRANCIS HOSPITAL-EVANSTON,IL,COPD,48,1.0534,22.7369,21.585,15,1
140080,SAINT FRANCIS HOSPITAL-EVANSTON,IL,Heart Attack (AMI),,1.0446,12.3722,11.8437,,1
140082,LOUIS A WEISS MEMORIAL HOSPITAL,IL,Pneumonia (PN),169,1.0581,20.1184,19.013,38,1
140082,LOUIS A WEISS MEMORIAL HOSPITAL,IL,Hip/Knee Replacement,106,1.4155,6.64,4.691,11,1
140082,LOUIS A WEISS MEMORIAL HOSPITAL,IL,Heart Failure (HF),105,1.0441,22.6174,21.6614,27,1
140082,LOUIS A WEISS MEMORIAL HOSPITAL,IL,COPD,42,1.0419,25.4654,24.4406,14,1
140082,LOUIS A WEISS MEMORIAL HOSPITAL,IL,Heart Attack (AMI),,0.9463,18.4433,19.4892,,0
140083,LORETTO HOSPITAL,IL,Heart Failure (HF),,1.0206,21.9931,21.5496,,1
140084,VISTA MEDICAL CENTER EAST,IL,Pneumonia (PN),228,1.0343,17.8392,17.2476,43,1
140084,VISTA MEDICAL CENTER EAST,IL,Heart Failure (HF),215,0.9521,18.3822,19.3062,36,0
140084,VISTA MEDICAL CENTER EAST,IL,COPD,81,1.0186,19.2266,18.8764,17,1
140084,VISTA MEDICAL CENTER EAST,IL,Heart Attack (AMI),,0.9296,13.7106,14.7485,,0
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,IL,Pneumonia (PN),291,1.1233,19.2162,17.107,64,1
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,IL,Heart Failure (HF),705,1.036,22.6025,21.8163,162,1
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,IL,COPD,241,1.0066,19.7111,19.5823,48,1
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,IL,Bypass Surgery (CABG),210,0.8877,10.5449,11.8795,19,0
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,IL,Heart Attack (AMI),141,1.0432,18.2249,17.4701,28,1
140089,MC DONOUGH DISTRICT HOSPITAL,IL,Pneumonia (PN),145,1.1684,18.8785,16.1579,38,1
140089,MC DONOUGH DISTRICT HOSPITAL,IL,Heart Failure (HF),,0.9914,17.6796,17.833,,0
140089,MC DONOUGH DISTRICT HOSPITAL,IL,COPD,,1.0,18.1864,18.1869,,0
140091,CARLE FOUNDATION HOSPITAL,IL,Pneumonia (PN),552,1.089,17.7927,16.3389,104,1
140091,CARLE FOUNDATION HOSPITAL,IL,Hip/Knee Replacement,,0.9918,5.5345,5.58,,0
140091,CARLE FOUNDATION HOSPITAL,IL,Heart Failure (HF),838,1.1525,24.3728,21.1474,215,1
140091,CARLE FOUNDATION HOSPITAL,IL,COPD,180,1.0501,20.1714,19.2089,40,1
140091,CARLE FOUNDATION HOSPITAL,IL,Bypass Surgery (CABG),102,1.05,11.4983,10.9511,13,1
140091,CARLE FOUNDATION HOSPITAL,IL,Heart Attack (AMI),314,1.0311,14.4656,14.0287,47,1
140093,OSF SACRED HEART MEDICAL CENTER,IL,Pneumonia (PN),228,0.9756,16.0768,16.4787,35,0
140093,OSF SACRED HEART MEDICAL CENTER,IL,Hip/Knee Replacement,,1.0133,4.3207,4.264,,1
140093,OSF SACRED HEART MEDICAL CENTER,IL,Heart Failure (HF),185,1.1278,21.7107,19.25,49,1
140093,OSF SACRED HEART MEDICAL CENTER,IL,COPD,109,1.0849,20.0599,18.4902,28,1
140095,SAINT ANTHONY HOSPITAL,IL,Heart Failure (HF),,1.0233,19.0169,18.5839,,1
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,IL,Pneumonia (PN),282,1.0312,16.6441,16.1404,49,1
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,IL,Hip/Knee Replacement,,1.0798,7.3072,6.7671,,1
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,IL,Heart Failure (HF),283,1.0662,20.9612,19.6589,64,1
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,IL,COPD,96,0.9694,18.0093,18.578,15,0
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,IL,Heart Attack (AMI),,0.906,12.0081,13.2546,,0
140103,ST BERNARD HOSPITAL,IL,Pneumonia (PN),,0.9902,19.3437,19.5355,,0
140103,ST BERNARD HOSPITAL,IL,Heart Failure (HF),34,1.0441,27.7973,26.6233,13,1
140103,ST BERNARD HOSPITAL,IL,COPD,34,1.0969,27.7543,25.303,17,1
140110,OSF SAINT ELIZABETH MDL CTR,IL,Pneumonia (PN),270,0.9798,15.3176,15.6334,40,0
140110,OSF SAINT ELIZABETH MDL CTR,IL,Heart Failure (HF),221,0.9542,18.2599,19.1371,37,0
140110,OSF SAINT ELIZABETH MDL CTR,IL,COPD,,0.9504,15.0559,15.8409,,0
140113,OSF HEART OF MARY MEDICAL CENTER,IL,Pneumonia (PN),96,0.9688,13.6035,14.0416,11,0
140113,OSF HEART OF MARY MEDICAL CENTER,IL,Heart Failure (HF),154,1.0316,18.6762,18.1036,31,1
140113,OSF HEART OF MARY MEDICAL CENTER,IL,COPD,,1.0055,15.736,15.6491,,1
140113,OSF HEART OF MARY MEDICAL CENTER,IL,Bypass Surgery (CABG),,1.0841,11.7533,10.8415,,1
140113,OSF HEART OF MARY MEDICAL CENTER,IL,Heart Attack (AMI),114,1.0443,12.9859,12.4352,17,1
140114,SWEDISH HOSPITAL,IL,Pneumonia (PN),353,1.019,17.1994,16.8786,62,1
140114,SWEDISH HOSPITAL,IL,Heart Failure (HF),341,0.9687,18.8568,19.4652,62,0
140114,SWEDISH HOSPITAL,IL,COPD,80,0.9504,18.538,19.5059,11,0
140114,SWEDISH HOSPITAL,IL,Heart Attack (AMI),143,1.0254,14.4766,14.1185,22,1
140115,THOREK MEMORIAL HOSPITAL,IL,Pneumonia (PN),,1.0175,17.4854,17.1843,,1
140116,NORTHWESTERN MEDICINE MCHENRY,IL,Pneumonia (PN),1137,1.0154,16.9709,16.7134,194,1
140116,NORTHWESTERN MEDICINE MCHENRY,IL,Hip/Knee Replacement,330,1.079,6.6997,6.2091,23,1
140116,NORTHWESTERN MEDICINE MCHENRY,IL,Heart Failure (HF),1372,0.9522,19.43,20.4052,263,0
140116,NORTHWESTERN MEDICINE MCHENRY,IL,COPD,413,0.9987,19.8787,19.9044,82,0
140116,NORTHWESTERN MEDICINE MCHENRY,IL,Bypass Surgery (CABG),115,1.1516,11.6058,10.0783,17,1
140116,NORTHWESTERN MEDICINE MCHENRY,IL,Heart Attack (AMI),327,1.0632,14.0248,13.191,49,1
140117,AMITA HEALTH RESURRECTION MEDICAL CENTER,IL,Pneumonia (PN),389,0.9946,17.5766,17.6718,68,0
140117,AMITA HEALTH RESURRECTION MEDICAL CENTER,IL,Hip/Knee Replacement,,1.0617,7.1574,6.7417,,1
140117,AMITA HEALTH RESURRECTION MEDICAL CENTER,IL,Heart Failure (HF),671,0.891,17.0218,19.1039,106,0
140117,AMITA HEALTH RESURRECTION MEDICAL CENTER,IL,COPD,104,0.9751,20.1428,20.6565,19,0
140117,AMITA HEALTH RESURRECTION MEDICAL CENTER,IL,Bypass Surgery (CABG),,1.0415,12.5811,12.0801,,1
140117,AMITA HEALTH RESURRECTION MEDICAL CENTER,IL,Heart Attack (AMI),170,1.0193,15.2994,15.0091,27,1
140119,RUSH UNIVERSITY MEDICAL CENTER,IL,Pneumonia (PN),327,0.9464,17.6807,18.6819,54,0
140119,RUSH UNIVERSITY MEDICAL CENTER,IL,Hip/Knee Replacement,269,0.9213,4.8085,5.2194,12,0
140119,RUSH UNIVERSITY MEDICAL CENTER,IL,Heart Failure (HF),658,1.0088,23.1518,22.9508,153,1
140119,RUSH UNIVERSITY MEDICAL CENTER,IL,COPD,96,0.9143,22.097,24.1676,14,0
140119,RUSH UNIVERSITY MEDICAL CENTER,IL,Bypass Surgery (CABG),95,0.9657,12.5642,13.0106,11,0
140119,RUSH UNIVERSITY MEDICAL CENTER,IL,Heart Attack (AMI),141,1.0783,19.0503,17.6674,31,1
140120,CARLE HEALTH PEKIN HOSPITAL,IL,Pneumonia (PN),137,0.9471,15.0221,15.8613,17,0
140120,CARLE HEALTH PEKIN HOSPITAL,IL,Heart Failure (HF),130,1.0057,18.1535,18.0512,24,1
140120,CARLE HEALTH PEKIN HOSPITAL,IL,COPD,,0.9768,15.4542,15.8213,,0
140122,UCHICAGO MEDICINE ADVENTHEALTH HINSDALE,IL,Pneumonia (PN),385,0.9447,15.2751,16.1699,55,0
140122,UCHICAGO MEDICINE ADVENTHEALTH HINSDALE,IL,Heart Failure (HF),365,0.9554,18.435,19.2958,64,0
140122,UCHICAGO MEDICINE ADVENTHEALTH HINSDALE,IL,COPD,112,1.004,18.4812,18.4068,21,1
140122,UCHICAGO MEDICINE ADVENTHEALTH HINSDALE,IL,Bypass Surgery (CABG),,0.9384,10.7362,11.4406,,0
140122,UCHICAGO MEDICINE ADVENTHEALTH HINSDALE,IL,Heart Attack (AMI),170,0.9872,12.7355,12.9007,21,0
140124,JOHN H STROGER JR HOSPITAL,IL,Pneumonia (PN),50,1.0489,17.5179,16.7015,12,1
140124,JOHN H STROGER JR HOSPITAL,IL,Heart Failure (HF),174,0.9274,19.2651,20.7744,28,0
140124,JOHN H STROGER JR HOSPITAL,IL,COPD,52,1.0356,23.4481,22.6429,15,1
140124,JOHN H STROGER JR HOSPITAL,IL,Heart Attack (AMI),,0.9995,13.4153,13.4217,,0
140125,GATEWAY REGIONAL MEDICAL CENTER,IL,Pneumonia (PN),79,1.0043,14.8369,14.774,12,1
140125,GATEWAY REGIONAL MEDICAL CENTER,IL,Heart Failure (HF),,0.9815,17.7965,18.1311,,0
140125,GATEWAY REGIONAL MEDICAL CENTER,IL,COPD,,1.0066,16.7249,16.6149,,1
140127,CARLE BROMENN MEDICAL CENTER,IL,Pneumonia (PN),297,1.0262,15.9192,15.513,49,1
140127,CARLE BROMENN MEDICAL CENTER,IL,Hip/Knee Replacement,292,1.5827,7.4284,4.6936,27,1
140127,CARLE BROMENN MEDICAL CENTER,IL,Heart Failure (HF),341,1.035,20.3786,19.6885,72,1
140127,CARLE BROMENN MEDICAL CENTER,IL,COPD,109,0.9899,16.2704,16.4372,17,0
140127,CARLE BROMENN MEDICAL CENTER,IL,Bypass Surgery (CABG),,1.1807,12.8662,10.8968,,1
140127,CARLE BROMENN MEDICAL CENTER,IL,Heart Attack (AMI),98,1.0492,13.8172,13.1688,16,1
140130,NORTHWESTERN LAKE FOREST HOSPITAL,IL,Pneumonia (PN),467,1.0336,17.2903,16.7277,83,1
140130,NORTHWESTERN LAKE FOREST HOSPITAL,IL,Hip/Knee Replacement,,0.8313,4.1795,5.0277,,0
140130,NORTHWESTERN LAKE FOREST HOSPITAL,IL,Heart Failure (HF),628,0.8773,17.7398,20.22,102,0
140130,NORTHWESTERN LAKE FOREST HOSPITAL,IL,COPD,127,0.956,17.5971,18.4077,19,0
140130,NORTHWESTERN LAKE FOREST HOSPITAL,IL,Heart Attack (AMI),100,1.0561,14.1969,13.4423,17,1
140133,HOLY CROSS HOSPITAL,IL,Pneumonia (PN),65,0.9971,18.7773,18.8323,12,0
140133,HOLY CROSS HOSPITAL,IL,Heart Failure (HF),141,0.9928,22.3771,22.5402,31,0
140133,HOLY CROSS HOSPITAL,IL,COPD,66,1.0643,21.3773,20.0862,19,1
140135,DECATUR MEMORIAL HOSPITAL,IL,Pneumonia (PN),441,0.854,13.9383,16.3209,51,0
140135,DECATUR MEMORIAL HOSPITAL,IL,Heart Failure (HF),384,0.9834,20.1103,20.4489,76,0
140135,DECATUR MEMORIAL HOSPITAL,IL,COPD,232,1.0033,21.0108,20.9414,49,1
140135,DECATUR MEMORIAL HOSPITAL,IL,Heart Attack (AMI),,0.9488,13.3053,14.0226,,0
140137,HSHS HOLY FAMILY HOSPITAL INC,IL,Pneumonia (PN),,0.959,15.7022,16.3741,,0
140137,HSHS HOLY FAMILY HOSPITAL INC,IL,Heart Failure (HF),,0.9878,19.681,19.9248,,0
140145,ST JOSEPHS HOSPITAL,IL,Pneumonia (PN),162,0.9983,14.883,14.908,24,0
140145,ST JOSEPHS HOSPITAL,IL,Heart Failure (HF),100,0.9661,17.433,18.0454,15,0
140145,ST JOSEPHS HOSPITAL,IL,COPD,,0.9882,15.5847,15.7706,,0
140148,MEMORIAL MEDICAL CENTER,IL,Pneumonia (PN),707,0.9546,14.7188,15.4191,101,0
140148,MEMORIAL MEDICAL CENTER,IL,Heart Failure (HF),585,1.0456,20.4703,19.5779,123,1
140148,MEMORIAL MEDICAL CENTER,IL,COPD,301,0.9743,18.58,19.0691,54,0
140148,MEMORIAL MEDICAL CENTER,IL,Bypass Surgery (CABG),148,0.9563,10.2427,10.7107,14,0
140148,MEMORIAL MEDICAL CENTER,IL,Heart Attack (AMI),419,1.0334,13.9195,13.4702,60,1
140150,UNIVERSITY OF ILLINOIS HOSPITAL AND CLINICS,IL,Pneumonia (PN),93,0.9768,17.8993,18.3237,15,0
140150,UNIVERSITY OF ILLINOIS HOSPITAL AND CLINICS,IL,Hip/Knee Replacement,,1.1239,5.7194,5.0888,,1
140150,UNIVERSITY OF ILLINOIS HOSPITAL AND CLINICS,IL,Heart Failure (HF),175,1.0594,22.1065,20.8662,43,1
140150,UNIVERSITY OF ILLINOIS HOSPITAL AND CLINICS,IL,COPD,,0.9678,19.828,20.4881,,0
140150,UNIVERSITY OF ILLINOIS HOSPITAL AND CLINICS,IL,Heart Attack (AMI),,1.0123,14.8904,14.7097,,1
140155,PRESENCE ST MARYS HOSPITAL,IL,Pneumonia (PN),209,0.8758,14.7774,16.8733,22,0
140155,PRESENCE ST MARYS HOSPITAL,IL,Hip/Knee Replacement,,0.8402,4.5676,5.4361,,0
140155,PRESENCE ST MARYS HOSPITAL,IL,Heart Failure (HF),126,0.9554,20.1357,21.076,22,0
140155,PRESENCE ST MARYS HOSPITAL,IL,COPD,72,0.9713,18.2782,18.818,11,0
140155,PRESENCE ST MARYS HOSPITAL,IL,Heart Attack (AMI),,0.8926,12.3553,13.8423,,0
140158,INSIGHT HOSPITAL AND MEDICAL CENTER CHICAGO,IL,Pneumonia (PN),57,1.0218,16.709,16.3518,11,1
140158,INSIGHT HOSPITAL AND MEDICAL CENTER CHICAGO,IL,Heart Failure (HF),,1.0208,19.7763,19.3737,,1
140160,FHN MEMORIAL HOSPITAL,IL,Pneumonia (PN),180,0.9136,12.6737,13.8721,17,0
140160,FHN MEMORIAL HOSPITAL,IL,Heart Failure (HF),157,0.9121,15.5233,17.0192,18,0
140160,FHN MEMORIAL HOSPITAL,IL,COPD,,1.0012,16.5129,16.4939,,1
140160,FHN MEMORIAL HOSPITAL,IL,Heart Attack (AMI),,0.967,13.5094,13.9705,,0
140161,SAINT JAMES HOSPITAL,IL,Pneumonia (PN),135,0.9922,12.9643,13.0662,17,0
140161,SAINT JAMES HOSPITAL,IL,Hip/Knee Replacement,,1.0426,4.2525,4.0785,,1
140161,SAINT JAMES HOSPITAL,IL,Heart Failure (HF),107,1.048,16.5976,15.8374,21,1
140161,SAINT JAMES HOSPITAL,IL,COPD,,0.975,14.6014,14.975,,0
140162,ST JOSEPH MEDICAL CENTER,IL,Pneumonia (PN),336,1.0312,14.58,14.1391,51,1
140162,ST JOSEPH MEDICAL CENTER,IL,Hip/Knee Replacement,,1.0983,5.2289,4.7607,,1
140162,ST JOSEPH MEDICAL CENTER,IL,Heart Failure (HF),386,1.104,18.9121,17.1308,80,1
140162,ST JOSEPH MEDICAL CENTER,IL,COPD,87,1.0045,14.5779,14.5119,13,1
140162,ST JOSEPH MEDICAL CENTER,IL,Bypass Surgery (CABG),,0.9173,9.5056,10.362,,0
140162,ST JOSEPH MEDICAL CENTER,IL,Heart Attack (AMI),144,1.0035,10.9924,10.9544,16,1
140164,MEMORIAL HOSPITAL OF CARBONDALE,IL,Pneumonia (PN),307,0.9952,17.0449,17.127,52,0
140164,MEMORIAL HOSPITAL OF CARBONDALE,IL,Heart Failure (HF),311,1.0652,22.9106,21.5083,76,1
140164,MEMORIAL HOSPITAL OF CARBONDALE,IL,COPD,153,0.9763,18.1532,18.593,26,0
140164,MEMORIAL HOSPITAL OF CARBONDALE,IL,Bypass Surgery (CABG),,1.0349,9.5059,9.1856,,1
140164,MEMORIAL HOSPITAL OF CARBONDALE,IL,Heart Attack (AMI),214,1.0711,13.783,12.8675,33,1
140166,ST MARYS HOSPITAL,IL,Pneumonia (PN),332,1.1273,18.6315,16.5277,70,1
140166,ST MARYS HOSPITAL,IL,Heart Failure (HF),368,1.0375,21.2766,20.5078,81,1
140166,ST MARYS HOSPITAL,IL,COPD,97,1.0467,20.1905,19.2904,23,1
140166,ST MARYS HOSPITAL,IL,Heart Attack (AMI),78,1.019,14.1369,13.8735,12,1
140172,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,IL,Pneumonia (PN),305,1.0215,17.8811,17.505,56,1
140172,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,IL,Hip/Knee Replacement,,1.012,6.0073,5.9359,,1
140172,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,IL,Heart Failure (HF),485,1.0567,22.2428,21.0491,112,1
140172,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,IL,COPD,126,1.0539,20.612,19.5584,30,1
140172,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,IL,Heart Attack (AMI),112,1.0142,14.5366,14.3337,17,1
140174,PRESENCE MERCY MEDICAL CENTER,IL,Pneumonia (PN),180,0.9948,15.7505,15.8333,28,0
140174,PRESENCE MERCY MEDICAL CENTER,IL,Heart Failure (HF),198,1.0896,22.0302,20.2191,50,1
140174,PRESENCE MERCY MEDICAL CENTER,IL,COPD,51,1.0883,19.0864,17.5381,16,1
140174,PRESENCE MERCY MEDICAL CENTER,IL,Heart Attack (AMI),71,1.0591,15.5168,14.6506,14,1
140177,JACKSON PARK HOSPITAL,IL,Heart Failure (HF),40,1.0346,25.7291,24.8685,13,1
140177,JACKSON PARK HOSPITAL,IL,COPD,29,1.0474,28.001,26.7339,12,1
140179,OSF LITTLE COMPANY OF MARY MEDICAL CENTER,IL,Pneumonia (PN),404,1.0921,18.5357,16.9719,81,1
140179,OSF LITTLE COMPANY OF MARY MEDICAL CENTER,IL,Heart Failure (HF),511,1.118,23.4025,20.9319,128,1
140179,OSF LITTLE COMPANY OF MARY MEDICAL CENTER,IL,COPD,152,1.071,21.5163,20.0903,38,1
140179,OSF LITTLE COMPANY OF MARY MEDICAL CENTER,IL,Heart Attack (AMI),91,1.1116,16.9259,15.226,21,1
140180,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,IL,Pneumonia (PN),124,0.9422,16.18,17.1731,16,0
140180,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,IL,Heart Failure (HF),161,1.0714,25.2457,23.5629,46,1
140180,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,IL,COPD,53,1.0481,19.7906,18.8831,14,1
140180,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,IL,Heart Attack (AMI),32,1.1225,17.9193,15.9639,12,1
140181,SOUTH SHORE HOSPITAL,IL,Pneumonia (PN),,1.0569,18.8173,17.8042,,1
140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,IL,Pneumonia (PN),172,0.9928,16.565,16.6853,28,0
140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,IL,Heart Failure (HF),275,1.087,22.1097,20.3407,67,1
140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,IL,COPD,45,1.071,23.5663,22.005,16,1
140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,IL,Heart Attack (AMI),,0.9983,15.9509,15.9784,,0
140184,HEARTLAND REGIONAL MEDICAL CENTER,IL,Pneumonia (PN),145,1.0589,16.65,15.7231,28,1
140184,HEARTLAND REGIONAL MEDICAL CENTER,IL,Heart Failure (HF),115,1.0795,22.0126,20.3911,31,1
140184,HEARTLAND REGIONAL MEDICAL CENTER,IL,COPD,58,1.0676,22.2118,20.8052,18,1
140184,HEARTLAND REGIONAL MEDICAL CENTER,IL,Heart Attack (AMI),,0.9678,12.2432,12.651,,0
140185,MEMORIAL HOSPITAL,IL,Pneumonia (PN),685,1.0045,17.6192,17.5406,121,1
140185,MEMORIAL HOSPITAL,IL,Hip/Knee Replacement,,1.0539,5.5944,5.3084,,1
140185,MEMORIAL HOSPITAL,IL,Heart Failure (HF),657,0.9858,20.4042,20.699,133,0
140185,MEMORIAL HOSPITAL,IL,COPD,216,0.9722,19.5094,20.0673,40,0
140185,MEMORIAL HOSPITAL,IL,Bypass Surgery (CABG),,1.0754,13.0679,12.1521,,1
140185,MEMORIAL HOSPITAL,IL,Heart Attack (AMI),151,1.0557,15.9867,15.1426,27,1
140186,RIVERSIDE MEDICAL CENTER,IL,Pneumonia (PN),480,0.9825,15.4528,15.7279,73,0
140186,RIVERSIDE MEDICAL CENTER,IL,Heart Failure (HF),411,0.9793,19.1019,19.5065,77,0
140186,RIVERSIDE MEDICAL CENTER,IL,COPD,180,0.9958,20.1782,20.2628,36,0
140186,RIVERSIDE MEDICAL CENTER,IL,Bypass Surgery (CABG),,1.0218,10.8891,10.6566,,1
140186,RIVERSIDE MEDICAL CENTER,IL,Heart Attack (AMI),115,1.0113,14.2834,14.1235,17,1
140187,HSHS ST ELIZABETH'S HOSPITAL,IL,Pneumonia (PN),332,0.9297,15.6326,16.8151,47,0
140187,HSHS ST ELIZABETH'S HOSPITAL,IL,Hip/Knee Replacement,,1.0493,6.7797,6.461,,1
140187,HSHS ST ELIZABETH'S HOSPITAL,IL,Heart Failure (HF),562,0.9987,20.124,20.1507,113,0
140187,HSHS ST ELIZABETH'S HOSPITAL,IL,COPD,86,1.0145,19.6609,19.3795,18,1
140187,HSHS ST ELIZABETH'S HOSPITAL,IL,Bypass Surgery (CABG),,1.0727,11.2482,10.4856,,1
140187,HSHS ST ELIZABETH'S HOSPITAL,IL,Heart Attack (AMI),253,1.0033,14.5561,14.5076,37,1
140189,SARAH BUSH LINCOLN HEALTH CENTER,IL,Pneumonia (PN),402,0.9342,14.8062,15.8488,55,0
140189,SARAH BUSH LINCOLN HEALTH CENTER,IL,Hip/Knee Replacement,301,1.2592,7.0839,5.6259,24,1
140189,SARAH BUSH LINCOLN HEALTH CENTER,IL,Heart Failure (HF),554,0.994,19.3928,19.5098,107,0
140189,SARAH BUSH LINCOLN HEALTH CENTER,IL,COPD,231,0.9511,16.7249,17.5853,35,0
140189,SARAH BUSH LINCOLN HEALTH CENTER,IL,Heart Attack (AMI),,0.9292,13.9493,15.0124,,0
140191,INGALLS MEMORIAL HOSPITAL,IL,Pneumonia (PN),170,1.0243,18.4327,17.9959,33,1
140191,INGALLS MEMORIAL HOSPITAL,IL,Hip/Knee Replacement,,1.0527,6.4677,6.1436,,1
140191,INGALLS MEMORIAL HOSPITAL,IL,Heart Failure (HF),503,1.1602,22.8411,19.6872,126,1
140191,INGALLS MEMORIAL HOSPITAL,IL,COPD,88,1.0108,18.407,18.211,17,1
140191,INGALLS MEMORIAL HOSPITAL,IL,Heart Attack (AMI),,1.0176,12.8535,12.6314,,1
